ConceptID,ConceptLabel,Dependencies
277,Second Order Reactions,274
278,Determining Reaction Order,279|304
279,Method of Initial Rates,271|272
280,Integrated Rate Laws,272|23
281,Zero Order Integrated Law,280|275
282,First Order Integrated Law,280|276
283,Second Order Integrated Law,280|277
284,Half-Life,282
285,First Order Half-Life,284|282
286,Graphical Rate Analysis,280|23
287,Concentration vs Time,286
288,Linearization Rate Data,286|287
289,Collision Theory,266|152
290,Activation Energy,289|2
291,Activated Complex,290
292,Transition State,291
293,Effective Collisions,289|290
294,Orientation Factor,293
295,Arrhenius Equation,290|273|17
296,Arrhenius Plot,295|23
297,Frequency Factor,295
298,Temperature and Rate,289|295
299,Energy Diagrams,290|2|23
300,Exothermic Diagrams,299|326
301,Endothermic Diagrams,299|327
302,Reaction Mechanisms,303
303,Elementary Steps,266|272
304,Molecularity,303
305,Unimolecular Reactions,304
306,Bimolecular Reactions,304
307,Rate-Determining Step,302|303|272
308,Reaction Intermediates,302|303
309,Mechanism Validation,307|308|272
310,Catalysis,290|266
311,Homogeneous Catalysis,310|188
312,Heterogeneous Catalysis,310|153
313,Enzyme Catalysis,310
314,Catalyst Effect on Ea,310|290|299
315,Catalyst and Equilibrium,310|376
316,Catalyzed vs Uncatalyzed,314|299
317,Surface Area and Rate,312|266
318,Concentration and Rate,266|272
319,Factors Affecting Rate,298|317|318|294
320,Kinetics Experiments,22|266|279
321,Thermodynamics,2|24
322,System and Surroundings,321
323,Open Systems,322
324,Closed Systems,322
325,Isolated Systems,322
326,Exothermic Reactions,321|10
327,Endothermic Reactions,321|10
328,Heat and Temperature,2|17
329,Heat Transfer,328
330,Specific Heat Capacity,328|1
331,Heat Capacity,330
332,Calorimetry,329|330
333,Coffee Cup Calorimeter,332|324
334,Bomb Calorimeter,332|325
335,Enthalpy,321|329
336,Enthalpy Change,335
337,Standard Enthalpy,336
338,Enthalpy of Formation,337|5
339,Standard Formation Values,338
340,Enthalpy of Combustion,337|210
341,Enthalpy of Reaction,336|217
342,Hess's Law,341|24
343,Hess's Law Calculations,342|341
344,Born-Haber Cycle,342|88
345,Bond Enthalpy,112|336
346,Bond Enthalpy Calculations,345|341
347,Entropy,321
348,Entropy Change,347
349,Standard Entropy,348
350,Entropy and Disorder,347|152
351,Microstates,350
352,Boltzmann Equation,351
353,Second Law Thermodynamics,347|321
354,Third Law Thermodynamics,349
355,Entropy of Phase Changes,348|176
356,Entropy Predictions,348|350
357,Gibbs Free Energy,335|347
358,Gibbs Free Energy Equation,357|336|348
359,Standard Free Energy,358|337|349
360,Free Energy of Formation,359|338
361,Spontaneity,358
362,Nonspontaneous Processes,361
363,Temperature Dependence,358|17
364,Gibbs and Equilibrium,357|376
365,Free Energy and Work,357|2
366,Coupled Reactions,362|365
367,Thermodynamic Stability,361|357
368,Kinetic Stability,290|367
369,State Functions,335|347|321
370,Path Functions,369|329
371,Internal Energy,321|2
372,First Law Thermodynamics,371|24
373,PV Work,372|163
374,Enthalpy vs Internal Energy,335|371|373
375,Calorimetry Calculations,332|330|15
376,Chemical Equilibrium,266|321
377,Dynamic Equilibrium,376
378,Equilibrium State,377
379,Forward Reaction,376
380,Reverse Reaction,376|379
381,Equilibrium Constant Kc,376|194
382,Equilibrium Constant Kp,381|169
383,Kc and Kp Relationship,381|382|163
384,Writing K Expressions,381
385,Homogeneous Equilibrium,384|188
386,Heterogeneous Equilibrium,384|153
387,Equilibrium Position,381
388,Reaction Quotient Q,381
389,Q vs K Comparison,388|381
390,Predicting Direction,389
391,ICE Tables,384|194
392,ICE Table Calculations,391
393,Small K Approximation,392
394,Quadratic in Equilibrium,392
395,Le Chatelier's Principle,377|387
396,Concentration Changes,395|381
397,Pressure Changes,395|382
398,Volume Changes,395|163
399,Temperature Changes on K,395|326|327
400,Effect of Catalyst on Eq,395|310
401,Adding Inert Gas,395|168
402,Equilibrium Shifts,395
403,Solubility Equilibria,190|376
404,Solubility Product Ksp,403|384
405,Molar Solubility,404
406,Common Ion Effect,404|395
407,Predicting Precipitation,404|388
408,Selective Precipitation,407
409,Complex Ion Formation,403|91
410,Formation Constants,409|384
411,Ksp Calculations,404|391
412,Ion Product,404|388
413,Temperature and Solubility,403|399
414,Henry's Law,190|161
415,Equilibrium and Free Energy,376|357
416,Relationship K and Delta G,415|358
417,Manipulating K Expressions,384
418,Reversing Reactions K,417
419,Adding Reactions K,417
420,Industrial Equilibrium,395|376
421,Acids,8
422,Bases,8
423,Arrhenius Theory,421|422
424,Bronsted-Lowry Theory,423|240
425,Lewis Acid-Base Theory,424|101
426,Conjugate Acid-Base Pairs,424
427,Conjugate Acid,426
428,Conjugate Base,426
429,Amphiprotic Substances,424|426
430,Autoionization of Water,424
431,Ion Product of Water Kw,430|381
432,pH Scale,431
433,pH Calculation,432|18
434,pOH,432
435,pH and pOH Relationship,433|434|431
436,Strong Acids,421|423
437,Strong Bases,422|423
438,Strong Acid pH,436|433
439,Strong Base pH,437|434
440,Weak Acids,421|376
441,Weak Bases,422|376
442,Acid Dissociation Ka,440|384
443,Base Dissociation Kb,441|384
444,Ka and Kb Relationship,442|443|431
445,Percent Ionization,442|440
446,Weak Acid pH Calculation,442|391|433
447,Weak Base pH Calculation,443|391|434
448,Polyprotic Acids,440|442
449,Diprotic Acid Equilibria,448|391
450,Acid Strength Factors,442|79|111
451,Binary Acid Trends,450|73
452,Oxyacid Strength,450|232
453,Salt Hydrolysis,424|190
454,Acidic Salts,453|442
455,Basic Salts,453|443
456,Neutral Salts,453
457,Buffer Solutions,440|441|426
458,Buffer Composition,457
459,Henderson-Hasselbalch,457|442|433
460,Buffer Capacity,457|458
461,Buffer pH Calculations,459|391
462,Buffer Preparation,460|461
463,Acid-Base Titration,226|424
464,Strong Acid-Strong Base,463|438|439
465,Weak Acid-Strong Base,463|446
466,Strong Acid-Weak Base,463|447
467,Titration Curve Analysis,463|227|432
468,Half-Equivalence Point,467|442
469,Buffer Region,467|457
470,Indicators and pH Range,229|432
471,Selecting Indicators,470|467
472,Neutralization Reactions,424|215
473,Net Ionic Acid-Base,472|215
474,Dilute Acid Calculations,438|195
475,pH of Mixed Solutions,433|457
476,Electrochemistry,235|321
477,Galvanic Cells,476|361
478,Voltaic Cell Components,477
479,Anode and Cathode,478|233|234
480,Salt Bridge,478|149
481,Electron Flow Direction,479|240
482,Cell Notation,479|478
483,Standard Reduction Potential,479|234
484,Standard Hydrogen Electrode,483
485,Cell Potential Calculation,483|484
486,Spontaneous Cell Reactions,485|361
487,Nernst Equation,485|381|433
488,Nonstandard Conditions,487
489,Concentration Cells,487|488
490,Free Energy and Cell EMF,485|357
491,Delta G and E Relation,490|358
492,Faraday's Constant,240|38
493,Electrolytic Cells,476|362
494,Electrolysis,493
495,Electrolysis of Water,494|207
496,Electroplating,494
497,Faraday's Laws,492|494
498,Stoichiometry Electrolysis,497|217
499,Batteries and Fuel Cells,477|493
500,Corrosion,476|235
